,fpr,tpr,threshold,sampleSize,Accuracy
105,0.0929472209248015,0.9643387815750372,0.09,0.3013503909026297,0.7653301886792453
106,0.09901914992993928,0.9658246656760773,0.085,0.30632551528073915,0.7540603248259862
107,0.11069593647828117,0.9673105497771174,0.08,0.31556503198294245,0.7331081081081081
108,0.11910322279308734,0.9717682020802377,0.075,0.3230277185501066,0.7194719471947195
109,0.13218122372723026,0.9732540861812778,0.07,0.33333333333333337,0.6982942430703625
110,0.14245679588977114,0.9732540861812778,0.065,0.3411513859275054,0.6822916666666666
111,0.15646893974778142,0.9732540861812778,0.06,0.3518123667377399,0.6616161616161615
112,0.1662774404483886,0.9762258543833581,0.055,0.3599857853589197,0.648568608094768
113,0.1821578701541336,0.9762258543833581,0.05,0.3720682302771855,0.6275071633237822
114,0.20411022886501634,0.9777117384843982,0.045,0.38912579957356075,0.6009132420091325
115,0.2283979448855675,0.9806835066864784,0.04,0.40831556503198296,0.5744125326370757
116,0.25502101821578704,0.9821693907875185,0.035,0.4289267945984364,0.5476387738193869
117,0.28678187762727697,0.9851411589895989,0.03,0.4538024164889837,0.5191855912294441
118,0.32788416627744044,0.9851411589895989,0.025,0.48507462686567165,0.48571428571428577
119,0.3811303129378795,0.9895988112927192,0.02,0.5266524520255864,0.4493927125506073
120,0.4483886034563288,0.9910846953937593,0.015,0.57818052594172,0.40995697602950215
121,0.5464736104624007,0.9925705794947994,0.01,0.6531627576403696,0.36343852013057676
122,0.6917328351237739,0.9970282317979198,0.005,0.7647476901208244,0.3118029739776952
123,1.0,1.0,0.0,1.0,0.23916133617626156
